sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
Allergic and irritant contact dermatitis to calcipotriol.,calcipotriol,44,56,irritant contact dermatitis,13,40
"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",Calcipotriol,0,12,allergic reactions,110,128
"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",Calcipotriol,0,12,irritation of the skin,78,100
"The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.",calcipotriol,232,244,irritant type of reaction,185,210
Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,pravastatin,63,74,Myotonia,0,8
Pravastatin is associated with myotonia in animals.,Pravastatin,0,11,myotonia,31,39
"This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",pravastatin,40,51,myotonia,97,105
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,20,27,angioedema,80,90
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,20,27,systemic anaphylactoid reaction,97,128
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,20,27,urticaria,63,72
CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.,omeprazole,101,111,eruption,23,31
Fixed drug eruption in hands caused by omeprazole.,omeprazole,39,49,eruption,11,19
The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.,omeprazole,95,105,eruption,65,73
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,248,267,diffuse erythema,121,137
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,248,267,fever up to 39 degrees C,187,211
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,248,267,malaise,174,181
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,248,267,pustules,142,150
Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,salazosulfapyridine,54,73,Acute generalized exanthematous pustulosis,0,42
We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.,salazosulfapyridine,81,100,acute generalized exanthematous pustulosis,20,62
CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).,olanzapine,72,82,elevated serum CK concentration,96,127
"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.",Olanzapine,12,22,muscle injury with concomitant elevations of serum CK,75,128
Marked elevation of serum creatine kinase associated with olanzapine therapy.,olanzapine,58,68,elevation of serum creatine kinase,7,41
OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.,olanzapine,94,104,elevation of serum creatine kinase,38,72
Diclofenac-associated hepatitis.,Diclofenac,0,10,hepatitis,22,31
"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.",diclofenac,103,113,hepatitis,62,71
"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",2-CdA,0,5,lymphocytopenia,14,29
One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,heparin,37,44,priapism,12,20
Priapism as a complication of heparin therapy.,heparin,30,37,Priapism,0,8
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,heparin,24,31,abnormal platelet aggregation,66,95
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,heparin,24,31,priapism,36,44
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",clozapine,117,126,agranulocytosis,48,63
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",clozapine,117,126,neutropenia,32,43
"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",clozapine,60,69,diurnal variation of the white blood cells,121,163
Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,all-trans-retinoic acid,41,64,Acute neutrophilic dermatosis,0,29
Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,paroxetine,113,123,hair loss,78,87
Hair loss associated with paroxetine treatment: a case report.,paroxetine,26,36,Hair loss,0,9
We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,paroxetine,78,88,hair loss,61,70
"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.",insulin,26,33,protamine allergy,170,187
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,30,37,angioedema,76,86
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,30,37,angioedema,76,86
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,30,37,severe urticaria,58,74
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,30,37,severe urticaria,58,74
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,30,37,wheezing,103,111
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,30,37,wheezing,103,111
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",insulin,85,92,allergic symptoms,153,170
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",NPH insulin,81,92,allergic symptoms,153,170
Protamine allergy as a complication of insulin hypersensitivity: A case report.,insulin,39,46,Protamine allergy,0,17
She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.,insulin,33,40,hives,105,110
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",insulin,151,158,angioedema,44,54
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",NPH,99,102,angioedema,44,54
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",insulin,151,158,urticaria,30,39
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",NPH,99,102,urticaria,30,39
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,brimonidine,86,97,lethargic,28,37
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,brimonidine,86,97,poorly responsive,42,59
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,brimonidine,72,83,apneic,42,48
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,brimonidine,72,83,lethargic,28,37
Apparent central nervous system depression in infants after the use of topical brimonidine.,brimonidine,79,90,central nervous system depression,9,42
CONCLUSIONS: Topical brimonidine may be associated with central nervous system depression in infants.,brimonidine,21,32,central nervous system depression,56,89
PURPOSE: To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.,brimonidine,46,57,central nervous system depression,79,112
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,ceftriaxone,126,137,elevated hepato-biliary enzymes,143,174
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,ceftriaxone,126,137,transient biliary stasis,179,203
Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,ceftriaxone,42,53,Hepato-biliary abnormalities,0,28
Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,methotrexate,53,65,Anterior lumbosacral radiculopathy,0,34
Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.,methotrexate,84,96,progressive paraparesis,42,65
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",arsenic trioxide,25,41,decrease in the D-dimers,60,84
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",arsenic trioxide,25,41,slight decrease in peripheral blood leukocytes,147,193
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,165,176,chills,41,47
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,165,176,fatigue,49,56
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,165,176,fever,34,39
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,165,176,"generalized, pruritic, macular eruption",102,141
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,165,176,night sweats,58,70
"With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.", minocycline,139,151,mononucleosis-like syndrome,96,123
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,5-FU,77,81,life-threatening toxicity,171,196
We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.,5-FU,119,123,life-threatening complications,59,89
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,venlafaxine,52,63,acute ischaemic event,3,24
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,venlafaxine,19,30,ischaemic events,46,62
This is the first report of a possible association between an acute cardiovascular event and venlafaxine.,venlafaxine,93,104,acute cardiovascular event,62,88
"We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.",venlafaxine,115,126,acute myocardial ischaemia,142,168
Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,cyclophosphamide,9,25,embryopathy,36,47
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,CP,65,67,embryopathy,144,155
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,CP,65,67,multiple congenital anomalies,82,111
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,43,59,blepharophimosis,172,188
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,43,59,craniosynostosis,154,170
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,43,59,developmental delay,133,152
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,43,59,distal limb defects,228,247
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,43,59,flat nasal bridge,190,207
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,43,59,hypoplastic thumbs,258,276
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,43,59,oligodactyly,281,293
"We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.",cyclophosphamide,21,37,human teratogen,43,58
"In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.",phenytoin,56,65,seizures,14,22
Paradoxical seizures in phenytoin toxicity.,phenytoin,24,33,seizures,12,20
"We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL.",phenytoin,65,74,seizures,43,51
CONCLUSIONS: This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.,losartan,37,45,angioedema,68,78
Losartan-induced angioedema.,Losartan,0,8,angioedema,17,27
OBJECTIVE: To report a case of angioedema associated with losartan administration.,losartan,58,66,angioedema,31,41
"The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown.",losartan,41,49,angioedema,17,27
We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.,danazol,105,112,hepatic adenomas,68,84
Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.,Heparin,0,7,thrombocytopenia,16,32
Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).,heparin,10,17,thrombocytopenia,26,42
"There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.",heparin,147,154,thrombocytopenia,163,179
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,heparin,38,45,hemorrhagic complications,86,111
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,heparin,38,45,thrombocytopenia,54,70
Taxane-induced glaucoma.,Taxane,0,6,glaucoma,15,23
We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.,doxetaxel,40,49,glaucoma,20,28
Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,sodium phosphate,34,50,hyperphosphatemia,6,23
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,sodium biphosphate,103,121,hyperphosphatemia,26,43
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,sodium phosphate,82,98,hyperphosphatemia,26,43
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,amiodarone,98,108,Prolongation of the QT interval,0,31
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,amiodarone,98,108,ventricular tachyarrhymias,36,62
We report a case of recurrent torsades de pointes following treatment with pentavalent antimonial drugs and amiodarone.,amiodarone,108,118,torsades de pointes,30,49
Emphasis is given to the differentiation of diphenylhydantoin induced gingival hyperplasia from the angiomatous enlargement of the gingiva before any treatment is planned.,diphenylhydantoin,44,61,gingival hyperplasia,70,90
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-Pen,115,120,anemia,63,69
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-penicillamine,98,113,anemia,63,69
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-Pen,115,120,thrombocytopenia,74,90
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-penicillamine,98,113,thrombocytopenia,74,90
Cessation of D-Pen and the start of corticosteroid therapy were followed by recovery from bicytopenia.,D-Pen,13,18,bicytopenia,90,101
In vitro inhibition of hematopoiesis in a patient with systemic sclerosis treated with D-penicillamine.,D-penicillamine,87,102,inhibition of hematopoiesis,9,36
These findings suggest that bicytopenia in this patient was caused by D-Pen and may be due to different sensitivities in the hematopoietic lineage.,D-Pen,70,75,bicytopenia,28,39
A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.,methimazole,60,71,agranulocytosis,82,97
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,alendronate sodium,95,113,hypocalcemic tetany,14,33
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,fleet phospho-soda,44,62,hypocalcemic tetany,14,33
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,alendronate,67,78,hypocalcemic tetany,143,162
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fleet Phospho-Soda,192,210,hypocalcemic tetany,143,162
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fosamax,80,87,hypocalcemic tetany,143,162
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,alendronate,67,78,hypophosphatemia,122,138
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fleet Phospho-Soda,192,210,hypophosphatemia,122,138
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fosamax,80,87,hypophosphatemia,122,138
Described here are 2 patients who developed thrombotic microangiopathy of the kidneys after receiving high cumulative doses of the new anticancer drug gemcitabine.,gemcitabine,151,162,thrombotic microangiopathy,44,70
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,gemcitabine,73,84,renal failure,32,45
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,gemcitabine,73,84,Thrombotic microangiopathy,0,26
The first patient was a 61-year-old man with a 30-year history of fistulizing CD in whom B-cell non-Hodgkin's lymphoma was diagnosed 9 months after treatment with infliximab.,infliximab,163,173,B-cell non-Hodgkin's lymphoma,89,118
The relationship between infliximab treatment and lymphoma in Crohn's disease.,infliximab,25,35,lymphoma,50,58
The second is a 29-year-old man with CD in whom nodular sclerosing Hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.,infliximab,128,138,nodular sclerosing Hodgkin's lymphoma,48,85
We describe the clinical course of 2 patients with Crohn's disease (CD) in whom lymphoma was diagnosed after treatment with infliximab.,infliximab,124,134,lymphoma,80,88
Codeine intoxication in the neonate.,Codeine,0,7,Codeine intoxication,0,20
"We report a case of codeine intoxication in the neonate, in which the drug was prescribed for cough control during an emergency department visit.",codeine,20,27,codeine intoxication,20,40
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,Hydroxyurea,0,11,increase fetal hemoglobin,68,93
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,sodium phenylbutyrate,21,42,increase fetal hemoglobin,68,93
"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.",HU,38,40,increase in total Hb,49,69
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.,HU,52,54,hepatic toxicity,141,157
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.,HU,52,54,mild reversible hematologic,110,137
"Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.",HU,50,52,increasing Hb F,124,139
"Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.",Sodium phenylbutyrate,0,21,increasing Hb F,124,139
